unit_id,time_to_event,event_observed,temperature_c,initial_rds_on_ohm,rds_on_slope,source,dataset_role
sim_001,1280,1,210,0.0312,0.000041,synthetic,ci_smoke_only
sim_002,1365,1,210,0.0308,0.000039,synthetic,ci_smoke_only
sim_003,1422,1,210,0.0315,0.000037,synthetic,ci_smoke_only
sim_004,1510,1,210,0.0305,0.000035,synthetic,ci_smoke_only
sim_005,1598,1,210,0.0320,0.000034,synthetic,ci_smoke_only
sim_006,1660,0,210,0.0311,0.000031,synthetic,ci_smoke_only
sim_007,1735,1,210,0.0309,0.000030,synthetic,ci_smoke_only
sim_008,1810,0,210,0.0317,0.000028,synthetic,ci_smoke_only
sim_009,1195,1,210,0.0322,0.000043,synthetic,ci_smoke_only
sim_010,1478,1,210,0.0306,0.000036,synthetic,ci_smoke_only
sim_011,1555,1,210,0.0313,0.000035,synthetic,ci_smoke_only
sim_012,1700,0,210,0.0307,0.000029,synthetic,ci_smoke_only
sim_013,765,1,230,0.0310,0.000066,synthetic,ci_smoke_only
sim_014,824,1,230,0.0306,0.000061,synthetic,ci_smoke_only
sim_015,879,1,230,0.0318,0.000058,synthetic,ci_smoke_only
sim_016,915,1,230,0.0314,0.000056,synthetic,ci_smoke_only
sim_017,960,0,230,0.0309,0.000052,synthetic,ci_smoke_only
sim_018,1012,1,230,0.0316,0.000051,synthetic,ci_smoke_only
sim_019,1080,0,230,0.0308,0.000047,synthetic,ci_smoke_only
sim_020,735,1,230,0.0321,0.000068,synthetic,ci_smoke_only
sim_021,842,1,230,0.0305,0.000060,synthetic,ci_smoke_only
sim_022,902,1,230,0.0312,0.000057,synthetic,ci_smoke_only
sim_023,985,1,230,0.0317,0.000053,synthetic,ci_smoke_only
sim_024,1050,0,230,0.0307,0.000049,synthetic,ci_smoke_only
sim_025,438,1,250,0.0311,0.000113,synthetic,ci_smoke_only
sim_026,472,1,250,0.0307,0.000106,synthetic,ci_smoke_only
sim_027,505,1,250,0.0319,0.000099,synthetic,ci_smoke_only
sim_028,532,1,250,0.0315,0.000094,synthetic,ci_smoke_only
sim_029,565,1,250,0.0308,0.000089,synthetic,ci_smoke_only
sim_030,610,0,250,0.0316,0.000082,synthetic,ci_smoke_only
sim_031,628,1,250,0.0309,0.000080,synthetic,ci_smoke_only
sim_032,455,1,250,0.0320,0.000109,synthetic,ci_smoke_only
sim_033,488,1,250,0.0306,0.000103,synthetic,ci_smoke_only
sim_034,548,1,250,0.0313,0.000092,synthetic,ci_smoke_only
sim_035,590,1,250,0.0318,0.000085,synthetic,ci_smoke_only
sim_036,650,0,250,0.0307,0.000078,synthetic,ci_smoke_only
